Time,Open,High,Low,Close,Volume,Spread
2024-05-28,170.363,170.509,170.348,170.489,2370,10
2024-05-28,170.489,170.582,170.473,170.569,1432,10
2024-05-28,170.569,170.601,170.495,170.579,1107,10
2024-05-28,170.581,170.63,170.55,170.591,1451,10
2024-05-28,170.592,170.596,170.528,170.581,1252,10
2024-05-28,170.582,170.674,170.576,170.671,1134,11
2024-05-28,170.672,170.715,170.671,170.69,1174,10
2024-05-28,170.691,170.703,170.667,170.684,893,12
2024-05-28,170.684,170.696,170.622,170.624,731,11
2024-05-28,170.624,170.649,170.601,170.631,826,12
2024-05-28,170.632,170.694,170.632,170.673,764,13
2024-05-28,170.673,170.718,170.664,170.694,678,12
2024-05-28,170.693,170.746,170.657,170.738,1273,12
2024-05-28,170.738,170.788,170.734,170.772,817,10
2024-05-28,170.772,170.797,170.738,170.753,1004,12
2024-05-28,170.753,170.763,170.677,170.684,1076,12
2024-05-28,170.684,170.686,170.647,170.663,1077,14
2024-05-28,170.664,170.664,170.613,170.625,919,12
2024-05-28,170.625,170.633,170.58,170.587,1094,12
2024-05-28,170.588,170.647,170.551,170.642,1053,11
2024-05-28,170.642,170.678,170.581,170.59,1036,14
2024-05-28,170.586,170.64,170.575,170.618,758,13
2024-05-28,170.619,170.639,170.609,170.634,708,14
2024-05-28,170.633,170.673,170.627,170.668,713,12
2024-05-28,170.67,170.674,170.646,170.65,296,14
2024-05-28,170.651,170.659,170.634,170.65,206,16
2024-05-28,170.655,170.715,170.655,170.667,287,14
2024-05-28,170.666,170.675,170.629,170.638,326,17
2024-05-29,170.602,170.602,170.496,170.599,64,95
2024-05-29,170.599,170.6,170.585,170.593,193,125
2024-05-29,170.593,170.63,170.593,170.625,199,89
2024-05-29,170.625,170.651,170.608,170.622,310,89
2024-05-29,170.619,170.658,170.617,170.625,180,52
2024-05-29,170.625,170.634,170.608,170.618,157,52
2024-05-29,170.617,170.67,170.606,170.656,226,14
2024-05-29,170.655,170.733,170.652,170.68,453,12
2024-05-29,170.678,170.713,170.654,170.659,584,13
2024-05-29,170.66,170.676,170.634,170.653,379,14
2024-05-29,170.653,170.697,170.645,170.666,493,10
2024-05-29,170.665,170.696,170.656,170.66,393,10
2024-05-29,170.66,170.694,170.652,170.68,828,11
2024-05-29,170.681,170.725,170.647,170.723,985,13
2024-05-29,170.722,170.732,170.669,170.691,918,11
2024-05-29,170.691,170.781,170.691,170.767,1338,11
2024-05-29,170.767,170.794,170.747,170.767,934,12
2024-05-29,170.768,170.768,170.72,170.737,866,10
2024-05-29,170.737,170.773,170.658,170.671,809,10
2024-05-29,170.673,170.702,170.603,170.634,925,12
2024-05-29,170.634,170.656,170.594,170.638,746,12
2024-05-29,170.637,170.666,170.618,170.63,600,12
2024-05-29,170.63,170.63,170.569,170.576,282,10
2024-05-29,170.576,170.625,170.568,170.603,371,10
2024-05-29,170.601,170.648,170.592,170.635,458,11
2024-05-29,170.634,170.639,170.605,170.634,432,12
2024-05-29,170.635,170.665,170.608,170.623,451,10
2024-05-29,170.621,170.661,170.612,170.638,358,12
2024-05-29,170.638,170.648,170.595,170.607,448,11
2024-05-29,170.608,170.642,170.598,170.628,507,11
2024-05-29,170.628,170.637,170.595,170.614,399,13
2024-05-29,170.614,170.614,170.555,170.582,399,14
2024-05-29,170.583,170.6,170.562,170.583,571,11
2024-05-29,170.584,170.612,170.545,170.545,469,11
2024-05-29,170.545,170.566,170.504,170.525,722,12
2024-05-29,170.524,170.536,170.484,170.498,664,13
2024-05-29,170.509,170.542,170.235,170.447,1961,10
2024-05-29,170.457,170.481,170.361,170.449,1320,10
2024-05-29,170.449,170.541,170.441,170.538,1146,11
2024-05-29,170.536,170.562,170.443,170.485,1236,10
2024-05-29,170.485,170.56,170.483,170.502,1614,10
2024-05-29,170.503,170.564,170.472,170.55,1133,10
2024-05-29,170.549,170.564,170.506,170.551,1187,11
2024-05-29,170.551,170.566,170.484,170.542,931,11
2024-05-29,170.537,170.537,170.168,170.299,2797,10
2024-05-29,170.3,170.383,170.266,170.299,1760,11
2024-05-29,170.298,170.306,170.198,170.279,1140,12
2024-05-29,170.286,170.306,170.193,170.248,1070,11
2024-05-29,170.248,170.43,170.248,170.417,940,10
2024-05-29,170.416,170.474,170.396,170.46,1073,10
2024-05-29,170.46,170.505,170.411,170.495,1002,11
2024-05-29,170.497,170.625,170.483,170.541,957,11
2024-05-29,170.54,170.597,170.498,170.553,899,10
2024-05-29,170.554,170.567,170.492,170.497,561,11
2024-05-29,170.497,170.56,170.466,170.553,761,12
2024-05-29,170.554,170.622,170.514,170.545,918,10
2024-05-29,170.545,170.569,170.432,170.448,989,10
2024-05-29,170.448,170.485,170.405,170.473,1013,10
2024-05-29,170.476,170.552,170.468,170.547,888,10
2024-05-29,170.551,170.676,170.551,170.625,929,11
2024-05-29,170.624,170.754,170.623,170.709,1188,11
2024-05-29,170.707,170.749,170.656,170.669,1231,11
2024-05-29,170.668,170.676,170.52,170.558,1178,11
2024-05-29,170.559,170.619,170.496,170.497,1317,12
2024-05-29,170.501,170.502,170.337,170.437,1493,10
2024-05-29,170.436,170.457,170.392,170.422,1102,10
2024-05-29,170.421,170.508,170.399,170.505,1603,10
2024-05-29,170.505,170.623,170.499,170.532,1845,10
2024-05-29,170.531,170.593,170.484,170.496,1487,10
2024-05-29,170.497,170.519,170.263,170.276,1636,10
2024-05-29,170.276,170.317,170.203,170.286,1355,10
2024-05-29,170.286,170.351,170.25,170.325,2110,10
2024-05-29,170.325,170.382,170.269,170.377,2033,10
2024-05-29,170.379,170.403,170.339,170.361,1544,10
2024-05-29,170.363,170.415,170.314,170.4,1376,10
2024-05-29,170.399,170.42,170.37,170.409,1416,11
2024-05-29,170.411,170.452,170.386,170.404,1282,10
2024-05-29,170.403,170.506,170.398,170.488,1079,10
2024-05-29,170.489,170.558,170.464,170.547,714,12
2024-05-29,170.547,170.557,170.521,170.542,907,13
2024-05-29,170.541,170.543,170.426,170.43,1646,12
2024-05-29,170.431,170.481,170.401,170.474,879,14
2024-05-29,170.473,170.48,170.41,170.415,872,13
